Table,Field,Description,Example,Insights Logs
Date/Time,%s{time},The time and date of the transaction. This excludes the time zone.,Mon Oct 16 22:55:48 2023,Logged Time
Date/Time,%s{tz},The time zone. This is the same as the time zone you specified when you configured the NSS feed.,GMT,
Date/Time,%02d{ss},Seconds (0–59),48,This field is derived from Logged Time
Date/Time,%02d{mm},Minutes (0–59),55,This field is derived from Logged Time
Date/Time,%02d{hh},Hours (0–23),22,This field is derived from Logged Time
Date/Time,%02d{dd},The day of the month (1–31),16,This field is derived from Logged Time
Date/Time,%02d{mth},The month of the year,10,This field is derived from Logged Time
Date/Time,%04d{yyyy},Year,2023,This field is derived from Logged Time
Date/Time,%s{mon},The name of the month,Oct,This field is derived from Logged Time
Date/Time,%s{day},The day of the week,Mon,This field is derived from Logged Time
Date/Time,%d{epochtime},The epoch time of the transaction,1578128400,
Transaction Action,%s{reqrulelabel},The name of the rule that was applied to the DNS request,,Request Rule Name
Transaction Action,%s{reqaction},The name of the action that was applied to the DNS request,"REQ_ALLOW
RES_BLOC",Request Action
Transaction Action,%s{resrulelabel},The name of the rule that was applied to the DNS response,,Response Rule Name
Transaction Action,%s{resaction},The name of the action that was applied to the DNS response,,Response Action
Transaction Action,%s{ecs_slot},The name of the EDNS Client Subnet (ECS) rule that was applied to the DNS transaction,ECS Slot #17,ECS Object Name
Transaction Action,%s{dnsgw_slot},The name of the DNS Gateway rule,DNS GATEWAY Rule 1,Resolver Gateway
Transaction Information,%d{istcp},Indicates if the DNS transaction uses TCP,"1 = Yes
0 = No",
Transaction Information,%s{cip},"The IP address of the user. This can be the internal IP address if it is visible (e.g., traffic sent through a GRE tunnel or an internal IP address indicated using XFF). Otherwise, it's the client's internet (NATed Public) IP address.","203.0.113.5, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1",Client IP
Transaction Information,%d{durationms},The duration of the DNS request in milliseconds,,Request Duration
Transaction Information,%s{sip},The server IP address of the request,"192.168.2.200, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1",Server IP
Transaction Information,%d{recordid},The unique record identifier for each log,,This field is specific to NSS
Transaction Information,%s{pcapid},"The path of the packet capture (PCAP) file that captured the transaction. The PCAP ID has the following format: <Company ID>/<Directory>/<PCAP File Name>. The company ID is the internal ID of an organization and can be found on the Company Profile page. The directory is the log type. To download the PCAP file, go to the Capture column on the DNS Insights Logs page.",43139974/dns/663ba8fd30b50001.pcap,Capture
Transaction Information,%s{location},The gateway location or sub-location of the source,Headquarters,Location
Transaction Information,%s{req},The Fully Qualified Domain Name (FQDN) in the DNS request,mail.safemarch.com,Requested Domain
Transaction Information,%s{res},The resolved IP or NAME in the DNS response,"192.168.2.200, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1, EMPTY_RESP",Resolved IP or Name
Transaction Information,%s{domcat},The category of the content of the DNS request,Professional Services,Request Categories
Transaction Information,%s{respipcat},The category of the content of the DNS response,Adult Themes,Response Categories
Transaction Information,%s{reqtype},The DNS request type,A record,DNS Request Type
Transaction Information,%s{restype},The DNS response type. The means or format of the response.,"IPv4, IPv6",DNS Response Type
Transaction Information,%d{sport},The server port of the request,,Server Port
Transaction Information,%s{eedone},Indicates if the characters specified in the Feed Escape Character field of the NSS configuration page were hex encoded,Yes,This field is specific to NSS
Transaction Information,%s{error},The DNS error code. Usually an incomplete or failed transaction.,EMPTY_RESP,DNS Error Code
Transaction Information,%s{ecs_prefix},The EDNS Client Subnet (ECS) prefix used in the DNS request. This field displays a numeric string.,192.168.0.0,ECS Prefix
Transaction Information,%s{dnsgw_srv_proto},The DNS Gateway server protocol,"TCP, UDP, HTTP",Server Protocol
