Table,Field,Description,Example,Insights Logs
Date/Time,%s{time},The time and date of the transaction. This excludes the time zone.,Mon Oct 16 22:55:48 2023,Logged Time
Date/Time,%s{tz},The time zone. This is the same as the time zone you specified when you configured the NSS feed.,GMT,
Date/Time,%02d{ss},Seconds (0–59),48,This field is derived from Logged Time
Date/Time,%02d{mm},Minutes (0–59),55,This field is derived from Logged Time
Date/Time,%02d{hh},Hours (0–23),22,This field is derived from Logged Time
Date/Time,%02d{dd},The day of the month (1–31),16,This field is derived from Logged Time
Date/Time,%02d{mth},The month of the year,10,This field is derived from Logged Time
Date/Time,%04d{yyyy},Year,2023,This field is derived from Logged Time
Date/Time,%s{mon},The name of the month,Oct,This field is derived from Logged Time
Date/Time,%s{day},The day of the week,Mon,This field is derived from Logged Time
Date/Time,%d{epochtime},The epoch time of the transaction,1578128400,
Client Information,%s{csip},"The client source IP address. For aggregated sessions, this is the client source IP address of the last session in the aggregate.","192.0.2.10, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1",Client Source IP
Client Information,%d{csport},"The client source port. For aggregated sessions, this is the client source port of the last session in the aggregate.",22,Client Source Port
Client Information,%s{cdip},"The client destination IP address. For aggregated sessions, this is the client destination IP address of the last session in the aggregate.","198.51.100.54, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1",Client Destination IP
Client Information,%d{cdport},"The client destination port. For aggregated sessions, this is the client destination port of the last session in the aggregate.",22,Client Destination Port
Client Information,%s{cdfqdn},"The client destination FDQN (e.g., the HTTP host header)",www.example.com,Client Destination Name
Client Information,%s{tsip},"The tunnel IP address of the client (source). For aggregated sessions, this is the client's tunnel IP address corresponding to the last session in the aggregate.",192.0.2.15,Client Tunnel IP
Client Information,%s{location},The name of the location from which the session was initiated,Headquarters,Location
Client Information,%s{ttype},The traffic forwarding method used to send the traffic to the Firewall,L2 tunnel,Traffic Forwarding
Client Information,%s{aggregate},Indicates whether the Firewall session is aggregated,Yes,Aggregated Session
Client Information,%s{srcip_country},"The traffic's source country, which is determined by the client IP address location. There is no source country value in logs for aggregated sessions that are allowed.",United States,Source Country
IPS,%s{threatcat},The category of the threat in the Firewall session by the IPS engine,"Botnet Callback
Denial of Service attack
Malicious Content",Advanced Threat Category
IPS,%s{threatname},The name of the threat detected in the Firewall session by the IPS engine,"Linux.Backdoor.Tsunami
Win32.Trojan.DNSpionage",Threat Name
IPS,%d{threat_score},"The score of the threat detected in the Firewall session by the IPS engine. The score is assigned to the threat by Zscaler ThreatLabz and reflected in the Zscaler Threat Library. The score ranges from 0–100, from the least to the greatest threat.",10,Threat Score
IPS,%s{threat_severity},"The severity of the threat detected in the Firewall session by the IPS engine. The severity relates directly to the threat score. For example, if the value of %d{threat_score} is between 90 and 100, then the value of %s{threatseverity} is Critical.","Critical (90–100)
High (75–89)
Medium (46–74)
Low (1–45)
None (0)",Threat Severity
IPS,%s{ipsrulelabel},The name of the IPS policy that was applied to the Firewall session,Default IPS Rule,IPS Rule Name
IPS,%d{ips_custom_signature},Indicates if a custom IPS signature rule was applied. It is a numeric value (1 or 0).,"1 indicates a custom IPS rule
0 indicates a non-custom IPS rule",IPS Custom Signature
Server Information,%d{sdport},"The server destination port. For aggregated sessions, this is the server destination port of the last session in the aggregate.",443,Server Destination Port
Server Information,%s{sdip},"The server destination IP address. For aggregated sessions, this is the server destination IP address of the last session in the aggregate.","198.51.100.100, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1",Server Destination IP
Server Information,%s{ssip},"The server source IP address. For aggregated sessions, this is the server source IP address of the last session in the aggregate.","198.51.100.100, 2a02:2e0:40c:102:1:2b:10:80, 2001:db8::2:1",Server Source IP
Server Information,%d{ssport},"The server source port. For aggregated sessions, this is the server source port of the last session in the aggregate.",22,Server Source Port
Server Information,%s{ipcat},The URL category that corresponds to the server IP address,Finance,Server IP Category
